gameid,teamid,opposingteamid,compiledgametime,playerid,eventname,outcome,type,possessionid,zone,xcoord,ycoord,teamskatersonicecount,opposingteamskatersonicecount,goal,team_net_empty,opponent_net_empty,scoredifferential
70632,596,724,2859.1333,485421,pass,successful,south,442,nz,-2.720504761,-24.61066818,5,5,0,0,0,3
70632,596,724,1023.5333,485421,pass,successful,north,160,oz,31.99031067,9.8058815,5,4,0,0,0,2
70632,724,596,3112.6667,628757,linecarry,successful,none,470,nz,-24.89411926,-28.91764832,5,5,0,0,0,-3
70632,724,596,212.2,673651,pass,successful,outlet,30,dz,-73.22361755,37.96655273,5,5,0,0,0,0
70632,596,724,1893.6666,847481,reception,successful,regular,285,dz,-49.09030151,-37.46764374,5,5,0,0,0,3
70632,596,724,137.46666,812630,reception,successful,regular,19,dz,-62.06756592,-38.19007874,5,5,0,0,0,0
70632,596,724,1425.8667,92751,pass,failed,d2d,223,dz,-97.40240479,1.240749359,5,5,0,0,0,2
70632,596,724,1763.1333,403721,pass,successful,d2d,267,dz,-94.85009766,-24.90001678,4,5,0,0,0,2
70632,596,724,1024.3334,828703,reception,successful,regular,160,oz,45.06677246,36.46176147,5,4,0,0,0,2
70632,596,724,1894,847481,pass,successful,outlet,285,dz,-44.06089783,-37.97058868,5,5,0,0,0,3
70632,596,724,1763.2,485421,reception,successful,regular,267,dz,-97.36480713,-14.84119034,4,5,0,0,0,2
70632,596,724,2860.4333,915333,reception,successful,regular,442,nz,-8.75579834,40.26874542,5,5,0,0,0,3
70632,724,596,3113.8,628757,linecarry,successful,none,470,nz,0.755882263,-28.91764832,5,5,0,0,0,-3
70632,596,724,3036.0667,828703,reception,successful,regular,462,nz,-15.28878784,-15.84411812,5,5,0,0,0,3
70632,724,596,2877.0667,673651,reception,successful,regular,445,dz,-58.59117126,35.45882416,5,5,0,0,0,-3
70632,596,724,877.43335,424862,pass,successful,stretch,140,dz,-41.94816208,-34.95588303,5,5,0,0,0,2
70632,724,596,406.13333,698619,shot,successful,outside,66,oz,43.18806076,16.61949158,5,5,0,0,0,0
70632,596,724,3409.8667,797810,pass,failed,north,525,oz,29.47297668,-33.44705963,5,5,0,0,0,3
70632,596,724,327.93332,847481,pass,successful,d2d,51,dz,-69.1087265,-22.37645721,5,5,0,0,0,0
70632,724,596,213.03334,332856,reception,successful,regular,30,dz,-38.01773071,14.83125687,5,5,0,0,0,0
70632,596,724,2077.8667,812630,shot,successful,slot,312,oz,71.6155777,11.82058716,5,5,0,0,0,3
70632,724,596,2226.5334,698619,pass,failed,north,339,oz,81.77362061,-38.97351456,5,5,0,0,0,-3
70632,724,596,3114.8667,628757,linecarry,successful,none,470,oz,25.40000153,-32.94117737,5,5,0,0,0,-3
70632,596,724,2861.3667,915333,linecarry,successful,none,442,nz,-0.708740234,40.77168274,5,5,0,0,0,3
70632,596,724,1894.5667,485421,reception,successful,regular,285,nz,-22.93736267,-21.87647247,5,5,0,0,0,3
70632,724,596,1403.1333,628757,pass,successful,slot,218,oz,66.6932373,-33.44705963,5,5,0,0,0,-2
70632,596,724,879.76666,393337,reception,successful,regular,140,nz,13.37536621,33.94705963,5,5,0,0,0,2
70632,596,724,544.23334,403721,pass,failed,d2d,91,dz,-95.75937653,7.291175842,5,5,0,0,0,0
70632,596,724,329.1,92751,reception,successful,regular,51,dz,-81.17931366,-28.91469193,5,5,0,0,0,0
70632,724,596,2714.5667,303683,reception,successful,regular,419,oz,37.47058868,-14.83529282,5,4,0,0,0,-3
70632,724,596,417.06668,628757,pass,successful,d2d,68,dz,-34.26487732,-36.692276,5,5,0,0,0,0
70632,596,724,3036.6,828703,pass,successful,eastwest,462,nz,-10.76231384,-11.82058716,5,5,0,0,0,3
70632,596,724,1429.5667,92751,pass,successful,outlet,224,dz,-97.90538025,-0.771183014,5,5,0,0,0,2
70632,596,724,139.1,812630,pass,failed,ozentrystretch,19,dz,-39.43521118,-37.6871376,5,5,0,0,0,0
70632,724,596,213.7,332856,linecarry,successful,none,30,dz,-25.94714355,7.790081024,5,5,0,0,0,0
70632,596,724,3285.9666,828703,pass,successful,south,505,nz,-0.703491211,-1.258823395,5,5,0,0,0,3
70632,724,596,1403.6,183489,reception,successful,regular,218,oz,70.21383667,0.752941132,5,5,0,0,0,-2
70632,596,724,942.76666,511560,pass,failed,slot,151,oz,64.17854309,-12.82646942,5,5,0,0,0,2
70632,724,596,2714.6,303683,shot,failed,outsideblocked,419,oz,37.47058868,-14.83529282,5,4,0,0,0,-3
70632,596,724,3037.5667,847481,reception,successful,regular,462,nz,13.88179779,37.46764374,5,5,0,0,0,3
70632,596,724,1894.8,485421,pass,failed,north,285,nz,-15.39324188,-22.88235474,5,5,0,0,0,3
70632,596,724,329.93332,92751,pass,successful,outlet,51,dz,-91.74108124,-22.37645721,5,5,0,0,0,0
70632,596,724,3287.1,485421,reception,successful,regular,505,nz,-16.2946701,12.32058716,5,5,0,0,0,3
70632,596,724,880.3333,393337,linecarry,successful,none,140,oz,25.44595337,36.96470642,5,5,0,0,0,2
70632,724,596,215.03334,332856,linecarry,successful,none,30,nz,-0.800079346,5.778316498,5,5,0,0,0,0
70632,596,724,1026.5667,828703,shot,successful,outside,160,oz,50.09619141,19.86470795,5,4,0,0,0,2
70632,724,596,2066.1667,538217,pass,successful,d2d,311,dz,-59.55110168,-25.39999962,5,5,0,0,0,-3
70632,596,724,2468.1,797810,shot,successful,slot,375,oz,84.24118042,4.776470184,5,5,0,0,0,3
70632,596,724,2609.7,92751,reception,successful,regular,407,dz,-36.96764755,-19.36470604,5,5,0,0,0,3
70632,596,724,331.66666,600730,reception,successful,regular,51,dz,-81.17931366,37.97648621,5,5,0,0,0,0
70632,724,596,1403.6333,183489,shot,successful,slot,218,oz,69.71089172,-0.252941132,5,5,0,0,0,-2
70632,596,724,3287.2666,485421,pass,successful,south,505,nz,-18.80937195,11.3147049,5,5,0,0,0,3
70632,724,596,216.23334,332856,linecarry,successful,none,30,oz,25.85580444,0.748905182,5,5,0,0,0,0
70632,724,596,2066.6,84875,reception,successful,regular,311,dz,-66.08934021,11.81764603,5,5,0,0,0,-3
70632,596,724,2125.5,92751,pass,successful,d2d,322,dz,-97.37265015,-4.273529053,5,5,0,0,0,3
70632,724,596,3582.2,261698,pass,successful,south,560,oz,67.59992218,-39.76580048,5,4,0,0,0,-3
70632,596,724,1231.5333,952287,pass,successful,ozentry,190,nz,9.733200073,-19.88457489,5,4,0,0,0,2
70632,596,724,2610.9,92751,pass,successful,d2d,407,dz,-44.51176453,-3.270587921,5,5,0,0,0,3
70632,596,724,3287.8,815413,reception,successful,regular,505,dz,-34.90349579,-19.36470604,5,5,0,0,0,3
70632,724,596,417.83334,673651,reception,successful,regular,68,dz,-57.400177,0.525375366,5,5,0,0,0,0
70632,596,724,1432.5333,952287,reception,successful,regular,224,dz,-50.62487793,38.96455383,5,5,0,0,0,2
70632,724,596,1,673651,reception,successful,regular,0,nz,-20.91772461,11.81361008,5,5,0,0,0,0
70632,724,596,3404.0667,303683,pass,successful,outlet,522,dz,-66.18243408,-1.039329529,5,5,0,0,0,-3
70632,596,724,3402.0667,511560,pass,failed,north,521,oz,35.00532532,34.95294189,5,5,0,0,0,3
70632,596,724,2128.6667,952287,reception,successful,regular,322,dz,-81.27853394,39.48235321,5,5,0,0,0,3
70632,724,596,2233.1,411541,pass,failed,ozentry,341,nz,-1.714607239,5.285308838,5,5,0,0,0,-3
70632,724,596,216.76666,332856,pass,successful,rush,30,oz,38.93227005,2.760669708,5,5,0,0,0,0
70632,596,724,2611.5334,485421,reception,successful,regular,407,dz,-62.11470413,26.90588379,5,5,0,0,0,3
70632,596,724,1432.7,952287,pass,successful,outlet,224,dz,-48.10997009,37.45560074,5,5,0,0,0,2
70632,596,724,1232.4,815413,reception,successful,ozentry,190,oz,29.85256195,-38.99797058,5,4,0,0,0,2
70632,724,596,866.1,538217,pass,failed,north,139,oz,58.54696274,37.96763229,5,5,0,0,0,-2
70632,596,724,145.73334,828703,pass,successful,north,20,oz,98.3706665,-1.978317261,5,5,0,0,0,0
70632,596,724,3289.6333,815413,pass,successful,d2d,505,dz,-42.44760895,-9.3058815,5,5,0,0,0,3
70632,724,596,2886.4333,84875,reception,successful,regular,447,dz,-63.12463379,37.23309708,5,5,0,0,0,-3
70632,596,724,2129.9,952287,pass,successful,outlet,322,dz,-72.72854614,38.97941208,5,5,0,0,0,3
70632,724,596,2887.7,84875,pass,failed,outlet,447,dz,-76.70404053,26.67133331,5,5,0,0,0,-3
70632,596,724,750.23334,485421,pass,successful,d2d,117,dz,-92.24227905,0.752941132,5,5,0,0,0,1
70632,596,724,2472.7,952287,pass,successful,eastwest,376,oz,29.92352295,-16.85000038,5,5,0,0,0,3
70632,596,724,3290.1667,485421,reception,successful,regular,505,dz,-46.97407913,21.37352753,5,5,0,0,0,3
70632,596,724,2612.5667,485421,pass,successful,stretch,407,dz,-55.07352829,37.46764374,5,5,0,0,0,3
70632,724,596,2.2666667,673651,pass,successful,outlet,0,dz,-33.49125671,9.801845551,5,5,0,0,0,0
70632,596,724,1904.3,45223,pass,successful,south,287,nz,9.753814697,38.97941208,5,5,0,0,0,3
70632,596,724,2473.3,92751,reception,successful,regular,376,oz,37.97058105,32.43823242,5,5,0,0,0,3
70632,596,724,1433.5333,797810,reception,successful,regular,224,dz,-38.55326843,4.761638641,5,5,0,0,0,2
70632,724,596,3.0333333,698619,reception,successful,regular,0,dz,-35.00007629,-37.97756958,5,5,0,0,0,0
70632,724,596,2700,698619,reception,successful,regular,417,oz,32.44117737,-1.255882263,5,4,0,0,0,-3
70632,724,596,1851.5,538217,pass,successful,stretch,280,dz,-33.90110016,-14.33529472,5,5,0,0,0,-3
70632,596,724,2079.0667,403721,pass,successful,slot,313,oz,69.10087585,21.37647057,5,5,0,0,0,3
70632,724,596,420.43332,673651,pass,successful,outlet,68,dz,-42.31193542,36.23419571,5,5,0,0,0,0
70632,596,724,1433.8334,797810,linecarry,successful,none,224,dz,-25.47568512,6.773574829,5,5,0,0,0,2
70632,596,724,3048.0667,812630,reception,successful,regular,463,oz,95.86120605,-22.88529396,5,5,0,0,0,3
70632,596,724,1905.4,815413,reception,successful,regular,287,nz,-13.38147736,-3.26764679,5,5,0,0,0,3
70632,596,724,3291.3667,485421,pass,successful,outlet,505,dz,-44.45937347,32.43823242,5,5,0,0,0,3
70632,596,724,1796.0667,511560,reception,successful,regular,271,dz,-41.53833008,-39.48530579,4,5,0,0,0,2
70632,724,596,1405.3334,677394,pass,successful,south,219,oz,69.20794678,21.87647247,5,5,0,0,0,-2
70632,596,724,1434.9333,797810,pass,successful,north,224,nz,-8.877212524,-0.771183014,5,5,0,0,0,2
70632,724,596,885.93335,628757,linecarry,successful,none,142,nz,-0.800094604,-29.9294281,5,5,0,0,0,-2
70632,724,596,887.06665,628757,linecarry,successful,none,142,oz,25.85578156,-29.9294281,5,5,0,0,0,-2
70632,724,596,3.6,698619,linecarry,successful,none,0,dz,-25.94714355,-38.4805069,5,5,0,0,0,0
70632,596,724,2615.0334,915333,reception,successful,regular,407,nz,18.85882568,36.96470642,5,5,0,0,0,3
70632,596,724,1027.3667,45223,pass,successful,south,161,oz,69.71089172,22.37940979,5,4,0,0,0,2
70632,596,724,147.6,812630,reception,successful,regular,20,oz,83.78536987,37.75403595,5,5,0,0,0,0
70632,724,596,888.9667,628757,shot,failed,slot,142,oz,68.10284424,-13.83530807,5,5,0,0,0,-2
70632,724,596,1852.7333,332856,reception,successful,regular,280,nz,8.848899841,-10.25588226,5,5,0,0,0,-3
70632,724,596,2703.2334,698619,pass,failed,north,417,oz,73.17941284,27.91470528,5,4,0,0,0,-3
70632,596,724,1234.6666,797810,reception,successful,regular,190,oz,44.94208145,30.91680908,5,5,0,0,0,2
70632,596,724,2079.6,952287,reception,successful,regular,313,oz,59.04204941,11.82058716,5,5,0,0,0,3
